,lon,lat,alt,accuracy,speed,angle
20140120 15:34:43:143,-4.6723087310791016E8,-2.3560134887695313E8,724.55676,40.0,2.186138E-39,-52.900024
20140120 15:34:43:845,-4.6723087310791016E8,-2.3560134887695313E8,724.55676,40.0,2.186138E-39,-52.900024
20140120 15:34:43:872,-4.6723087310791016E8,-2.356013298034668E8,724.5525,40.0,7.15E-43,5.0999756
20140120 15:34:43:883,-4.6723087310791016E8,-2.356013298034668E8,724.5525,40.0,7.15E-43,5.0999756
20140120 15:34:44:005,-4.6723087310791016E8,-2.356013298034668E8,724.5525,40.0,7.15E-43,5.0999756
20140120 15:34:44:139,-4.6723087310791016E8,-2.356013298034668E8,724.5525,40.0,7.15E-43,5.0999756
20140120 15:34:44:344,-4.6723087310791016E8,-2.356013298034668E8,724.5525,40.0,7.15E-43,5.0999756
20140120 15:34:44:554,-4.6723087310791016E8,-2.3560131072998047E8,724.5488,40.0,0.0,144.40002
20140120 15:34:44:754,-4.6723087310791016E8,-2.3560131072998047E8,724.5488,40.0,0.0,144.40002
20140120 15:34:44:940,-4.6723087310791016E8,-2.3560131072998047E8,724.5488,40.0,0.0,144.40002
20140120 15:34:45:138,-4.6723087310791016E8,-2.3560131072998047E8,724.5488,40.0,0.0,144.40002
20140120 15:34:45:419,-4.6723087310791016E8,-2.3560131072998047E8,724.5488,40.0,0.0,144.40002
20140120 15:34:45:583,-4.6723087310791016E8,-2.3560129165649414E8,724.54553,40.0,0.0,167.59998
20140120 15:34:45:779,-4.6723087310791016E8,-2.3560129165649414E8,724.54553,40.0,0.0,167.59998
20140120 15:34:45:937,-4.6723087310791016E8,-2.3560129165649414E8,724.54553,40.0,0.0,167.59998
20140120 15:34:46:137,-4.6723087310791016E8,-2.3560129165649414E8,724.54553,40.0,0.0,167.59998
20140120 15:34:46:344,-4.6723087310791016E8,-2.3560129165649414E8,724.54553,40.0,0.0,167.59998
20140120 15:34:46:611,-4.6723087310791016E8,-2.3560129165649414E8,724.54285,40.0,0.0,-129.79999
20140120 15:34:46:793,-4.6723087310791016E8,-2.3560129165649414E8,724.54285,40.0,0.0,-129.79999
20140120 15:34:46:973,-4.6723087310791016E8,-2.3560129165649414E8,724.54285,40.0,0.0,-129.79999
20140120 15:34:47:179,-4.6723087310791016E8,-2.3560129165649414E8,724.54285,40.0,0.0,-129.79999
20140120 15:34:47:339,-4.6723087310791016E8,-2.3560129165649414E8,724.54285,40.0,0.0,-129.79999
20140120 15:34:47:537,-4.6723087310791016E8,-2.356012725830078E8,724.5407,40.0,0.0,-78.0
20140120 15:34:47:833,-4.6723087310791016E8,-2.356012725830078E8,724.5407,40.0,0.0,-78.0
20140120 15:34:47:943,-4.6723087310791016E8,-2.356012725830078E8,724.5407,40.0,0.0,-78.0
20140120 15:34:48:136,-4.6723087310791016E8,-2.356012725830078E8,724.5407,40.0,0.0,-78.0
20140120 15:34:48:338,-4.6723087310791016E8,-2.356012725830078E8,724.5407,40.0,0.0,-78.0
20140120 15:34:48:539,-4.6723087310791016E8,-2.356012725830078E8,724.54004,40.0,0.0,-29.099976
20140120 15:34:48:823,-4.6723087310791016E8,-2.356012725830078E8,724.54004,40.0,0.0,-29.099976
20140120 15:34:48:942,-4.6723087310791016E8,-2.356012725830078E8,724.54004,40.0,0.0,-29.099976
20140120 15:34:49:138,-4.6723087310791016E8,-2.356012725830078E8,724.54004,40.0,0.0,-29.099976
20140120 15:34:49:343,-4.6723087310791016E8,-2.356012725830078E8,724.54004,40.0,0.0,-29.099976
20140120 15:34:49:541,-4.6723087310791016E8,-2.356012725830078E8,724.54047,40.0,0.0,-110.20001
20140120 15:34:49:921,-4.6723087310791016E8,-2.356012725830078E8,724.54047,40.0,0.0,-110.20001
20140120 15:34:49:938,-4.6723087310791016E8,-2.356012725830078E8,724.54047,40.0,0.0,-110.20001
20140120 15:34:50:135,-4.6723087310791016E8,-2.356012725830078E8,724.54047,40.0,0.0,-110.20001
20140120 15:34:50:345,-4.6723087310791016E8,-2.356012725830078E8,724.54047,40.0,0.0,-110.20001
20140120 15:34:50:536,-4.672308349609375E8,-2.3560125350952148E8,724.541,40.0,0.0,-162.40002
20140120 15:34:50:739,-4.672308349609375E8,-2.3560125350952148E8,724.541,40.0,0.0,-162.40002
20140120 15:34:50:951,-4.672308349609375E8,-2.3560125350952148E8,724.541,40.0,0.0,-162.40002
20140120 15:34:51:153,-4.672308349609375E8,-2.3560125350952148E8,724.541,40.0,0.0,-162.40002
20140120 15:34:51:339,-4.672308349609375E8,-2.3560125350952148E8,724.541,40.0,0.0,-162.40002
20140120 15:34:51:540,-4.672308349609375E8,-2.3560125350952148E8,724.54193,40.0,0.0,-160.0
20140120 15:34:51:792,-4.672308349609375E8,-2.3560125350952148E8,724.54193,40.0,0.0,-160.0
20140120 15:34:51:936,-4.672308349609375E8,-2.3560125350952148E8,724.54193,40.0,0.0,-160.0
20140120 15:34:52:151,-4.672308349609375E8,-2.3560125350952148E8,724.54193,40.0,0.0,-160.0
20140120 15:34:52:341,-4.672308349609375E8,-2.3560125350952148E8,724.54193,40.0,0.0,-160.0
20140120 15:34:52:543,-4.672308349609375E8,-2.3560123443603516E8,724.54297,40.0,0.0,-162.20001
20140120 15:34:52:757,-4.672308349609375E8,-2.3560123443603516E8,724.54297,40.0,0.0,-162.20001
20140120 15:34:52:939,-4.672308349609375E8,-2.3560123443603516E8,724.54297,40.0,0.0,-162.20001
20140120 15:34:53:216,-4.672308349609375E8,-2.3560123443603516E8,724.54297,40.0,0.0,-162.20001
20140120 15:34:53:339,-4.672308349609375E8,-2.3560123443603516E8,724.54297,40.0,0.0,-162.20001
20140120 15:34:53:536,-4.672308349609375E8,-2.3560123443603516E8,724.5438,40.0,0.0,-140.59998
20140120 15:34:53:756,-4.672308349609375E8,-2.3560123443603516E8,724.5438,40.0,0.0,-140.59998
20140120 15:34:53:939,-4.672308349609375E8,-2.3560123443603516E8,724.5438,40.0,0.0,-140.59998
20140120 15:34:54:141,-4.672308349609375E8,-2.3560123443603516E8,724.5438,40.0,0.0,-140.59998
20140120 15:34:54:342,-4.672308349609375E8,-2.3560123443603516E8,724.5438,40.0,0.0,-140.59998
20140120 15:34:54:537,-4.672308349609375E8,-2.3560123443603516E8,724.5447,40.0,0.0,-100.599976
20140120 15:34:54:764,-4.672308349609375E8,-2.3560123443603516E8,724.5447,40.0,0.0,-100.599976
20140120 15:34:54:938,-4.672308349609375E8,-2.3560123443603516E8,724.5447,40.0,0.0,-100.599976
20140120 15:34:55:135,-4.672308349609375E8,-2.3560123443603516E8,724.5447,40.0,0.0,-100.599976
20140120 15:34:55:390,-4.672308349609375E8,-2.3560123443603516E8,724.5447,40.0,0.0,-100.599976
20140120 15:34:55:538,-4.672308349609375E8,-2.3560123443603516E8,724.5457,40.0,0.0,3.9000244
20140120 15:34:55:736,-4.672308349609375E8,-2.3560123443603516E8,724.5457,40.0,0.0,3.9000244
20140120 15:34:55:936,-4.672308349609375E8,-2.3560123443603516E8,724.5457,40.0,0.0,3.9000244
20140120 15:34:56:137,-4.672308349609375E8,-2.3560123443603516E8,724.5457,40.0,0.0,3.9000244
20140120 15:34:56:336,-4.672308349609375E8,-2.3560123443603516E8,724.5457,40.0,0.0,3.9000244
20140120 15:34:56:536,-4.672308349609375E8,-2.3560121536254883E8,724.54663,40.0,0.0,8.200012
20140120 15:34:56:769,-4.672308349609375E8,-2.3560121536254883E8,724.54663,40.0,0.0,8.200012
20140120 15:34:56:936,-4.672308349609375E8,-2.3560121536254883E8,724.54663,40.0,0.0,8.200012
20140120 15:34:57:136,-4.672308349609375E8,-2.3560121536254883E8,724.54663,40.0,0.0,8.200012
20140120 15:34:57:336,-4.672308349609375E8,-2.3560121536254883E8,724.54663,40.0,0.0,8.200012
20140120 15:34:57:535,-4.672308349609375E8,-2.3560121536254883E8,724.54816,40.0,0.0,10.0
20140120 15:34:57:798,-4.672308349609375E8,-2.3560121536254883E8,724.54816,40.0,0.0,10.0
20140120 15:34:57:936,-4.672308349609375E8,-2.3560121536254883E8,724.54816,40.0,0.0,10.0
20140120 15:34:58:148,-4.672308349609375E8,-2.3560121536254883E8,724.54816,40.0,0.0,10.0
20140120 15:34:58:342,-4.672308349609375E8,-2.3560121536254883E8,724.54816,40.0,0.0,10.0
20140120 15:34:58:537,-4.672308349609375E8,-2.3560121536254883E8,724.5503,40.0,0.0,25.799988
20140120 15:34:58:740,-4.672308349609375E8,-2.3560121536254883E8,724.5503,40.0,0.0,25.799988
20140120 15:34:58:956,-4.672308349609375E8,-2.3560121536254883E8,724.5503,40.0,0.0,25.799988
20140120 15:34:59:138,-4.672308349609375E8,-2.3560121536254883E8,724.5503,40.0,0.0,25.799988
20140120 15:34:59:347,-4.672308349609375E8,-2.3560121536254883E8,724.5503,40.0,0.0,25.799988
20140120 15:34:59:535,-4.672308349609375E8,-2.3560121536254883E8,724.55084,40.0,0.0,33.5
20140120 15:34:59:736,-4.672308349609375E8,-2.3560121536254883E8,724.55084,40.0,0.0,33.5
20140120 15:34:59:937,-4.672308349609375E8,-2.3560121536254883E8,724.55084,40.0,0.0,33.5
20140120 15:35:00:137,-4.672308349609375E8,-2.3560121536254883E8,724.55084,40.0,0.0,33.5
20140120 15:35:00:356,-4.672308349609375E8,-2.3560121536254883E8,724.55084,40.0,0.0,33.5
20140120 15:35:00:536,-4.672308349609375E8,-2.3560121536254883E8,724.55164,40.0,0.0,59.799988
20140120 15:35:00:780,-4.672308349609375E8,-2.3560121536254883E8,724.55164,40.0,0.0,59.799988
20140120 15:35:00:936,-4.672308349609375E8,-2.3560121536254883E8,724.55164,40.0,0.0,59.799988
20140120 15:35:01:139,-4.672308349609375E8,-2.3560121536254883E8,724.55164,40.0,0.0,59.799988
20140120 15:35:01:336,-4.672308349609375E8,-2.3560121536254883E8,724.55164,40.0,0.0,59.799988
20140120 15:35:01:537,-4.672308349609375E8,-2.3560121536254883E8,724.5525,40.0,0.0,57.900024
20140120 15:35:01:735,-4.672308349609375E8,-2.3560121536254883E8,724.5525,40.0,0.0,57.900024
20140120 15:35:01:936,-4.672308349609375E8,-2.3560121536254883E8,724.5525,40.0,0.0,57.900024
20140120 15:35:02:143,-4.672308349609375E8,-2.3560121536254883E8,724.5525,40.0,0.0,57.900024
20140120 15:35:02:340,-4.672308349609375E8,-2.3560121536254883E8,724.5525,40.0,0.0,57.900024
20140120 15:35:02:556,-4.672308349609375E8,-2.356011962890625E8,724.55304,40.0,0.0,10.5
20140120 15:35:02:736,-4.672308349609375E8,-2.356011962890625E8,724.55304,40.0,0.0,10.5
20140120 15:35:02:936,-4.672308349609375E8,-2.356011962890625E8,724.55304,40.0,0.0,10.5
20140120 15:35:03:135,-4.672308349609375E8,-2.356011962890625E8,724.55304,40.0,0.0,10.5
20140120 15:35:03:341,-4.672308349609375E8,-2.356011962890625E8,724.55304,40.0,0.0,10.5
20140120 15:35:03:536,-4.672308349609375E8,-2.356011962890625E8,724.5529,40.0,0.0,170.90002
20140120 15:35:03:738,-4.672308349609375E8,-2.356011962890625E8,724.5529,40.0,0.0,170.90002
20140120 15:35:03:936,-4.672308349609375E8,-2.356011962890625E8,724.5529,40.0,0.0,170.90002
20140120 15:35:04:136,-4.672308349609375E8,-2.356011962890625E8,724.5529,40.0,0.0,170.90002
20140120 15:35:04:345,-4.672308349609375E8,-2.356011962890625E8,724.5529,40.0,0.0,170.90002
20140120 15:35:04:577,-4.672308349609375E8,-2.3560121536254883E8,724.55206,40.0,0.0,126.70001
20140120 15:35:04:744,-4.672308349609375E8,-2.3560121536254883E8,724.55206,40.0,0.0,126.70001
20140120 15:35:04:951,-4.672308349609375E8,-2.3560121536254883E8,724.55206,40.0,0.0,126.70001
20140120 15:35:05:136,-4.672308349609375E8,-2.3560121536254883E8,724.55206,40.0,0.0,126.70001
20140120 15:35:05:338,-4.672308349609375E8,-2.3560121536254883E8,724.55206,40.0,0.0,126.70001
